,calm_id,street,intersecti,intersec_1,spd_hump,traf_islan,spd_cush,Installed,geometry,NeighbourhoodPortion,Neighbourhood
0,1.0,Oakridge Drive,Brimley Rd,McCowan Rd,8.0,0.0,0.0,2004,"LINESTRING (-79.2436067834751 43.726107776949505, -79.2430572413584 43.726547615232306, -79.23972856378442 43.72941153347583, -79.23765604017328 43.73110805711125, -79.2374185203701 43.73131454444577, -79.23734463181201 43.73135937870047, -79.23726064914193 43.73140419231363, -79.23716894683 43.73143999104167, -79.23703771632944 43.73146668949319, -79.23525929988523 43.731876663851075)",1.0,123
1,3.0,Atlas Avenue,Gloucester Grove,Eglinton Avenue West,2.0,0.0,0.0,1999,"LINESTRING (-79.43774136338365 43.69668515551946, -79.43815687925827 43.697684558681026, -79.4383961635463 43.69826007102036)",0.9952340744350865,107
80,83.0,Appleton Avenue,St. Clair Avenue West,Glenhurst Avenue,2.0,0.0,0.0,2006,"LINESTRING (-79.437540381886 43.679194769200066, -79.43776220754025 43.679771378539414, -79.438439985931 43.68147939306662)",0.7525053142000913,107
82,99.0,Cedric Avenue,Holland Park Avenue,Jesmond Avenue,3.0,0.0,0.0,1998,"LINESTRING (-79.43637921253857 43.68678525922379, -79.43702588081294 43.688374245972, -79.43721485422776 43.68884987756145, -79.4372429352881 43.68895021399919, -79.43725063390833 43.68903702705699, -79.43726910705594 43.68910597052182, -79.43763978367633 43.68997152375996)",1.0,107
89,114.0,O'Leary Avenue,Glenholme Avenue,Oakwood Avenue,3.0,0.0,0.0,1998,"LINESTRING (-79.43820543540126 43.68592520545261, -79.43875264252982 43.685805417375576, -79.44121126812213 43.685267151005846)",1.0,107
96,122.0,Winona Drive,Belvedere Avenue,Vaughan Road,4.0,0.0,0.0,2001,"LINESTRING (-79.43574636476808 43.689930913105506, -79.43608550262769 43.690727844012045, -79.43635070764245 43.69141296041884, -79.43680367641583 43.692578760792145, -79.43718278243412 43.69356086899421)",1.0,107
146,178.0,Northcliffe Boulevard,St. Clair Avenue West,Cloverlawn Avenue,4.0,0.0,0.0,2000,"LINESTRING (-79.4408364310433 43.67845057761687, -79.44084688036698 43.678573641965016, -79.44103291055683 43.67906959479869, -79.4421467933223 43.68176331496424)",0.818332417758421,107
148,181.0,Westmount Avenue,St. Clair Avenue West,Cloverlawn Avenue,4.0,0.0,0.0,2000,"LINESTRING (-79.44195484127266 43.67819980210372, -79.44207884284698 43.67857373290511, -79.44208864841686 43.67860328240235, -79.44216336082128 43.678828579654024, -79.44268871386305 43.6801308637245, -79.44326704950953 43.6815253915823)",0.8161374707280543,107
149,183.0,Glenholme Avenue,St. Clair Avenue West,Rogers Road,7.0,0.0,0.0,2000,"LINESTRING (-79.43857869927689 43.67896139934938, -79.43883781750581 43.679538335837435, -79.43987752199851 43.682051805506376, -79.44028603976595 43.683089230458414, -79.44039171875524 43.68331016103692, -79.44102178112885 43.68483739376677, -79.44121126812213 43.685267151005846, -79.44136106785767 43.685666203701196, -79.44136445732344 43.68578599322577, -79.4413608412686 43.68590321116471, -79.44159952242508 43.686523117077535)",0.9243562607861013,107
185,225.0,Atlas Avenue,St. Clair Avenue West,Dundurn Crescent,2.0,0.0,0.0,2000,"LINESTRING (-79.43072110597927 43.68066748520703, -79.43089185226644 43.6811237622371, -79.43092808772651 43.6812205746573, -79.43101167482754 43.68141182189861, -79.43120292177875 43.68192522159814, -79.43128552750417 43.68211420416886, -79.4315031708889 43.68265177188892, -79.43177582523276 43.68334723039481, -79.43189733328595 43.683582774186895)",0.8149434272607422,107
213,369.0,Crang Avenue,St. Clair Avenue West,Glenhurst Avenue,2.0,0.0,0.0,2001,"LINESTRING (-79.43657051822244 43.679414497281144, -79.43673678973325 43.679836831701586, -79.43679196951955 43.67997699417723, -79.43747856778896 43.68167928234607)",0.7564600312495847,107
215,379.0,Glenholme Avenue,Rogers Road,Vaughan Road,6.0,0.0,0.0,2003,"LINESTRING (-79.44159952242508 43.686523117077535, -79.44231989548085 43.688310552886634, -79.44242947364414 43.68855693461693, -79.44246113381908 43.688597883604636, -79.44250051118253 43.68863357136812, -79.44254851664418 43.688666198262815, -79.44273136591535 43.6890987165608, -79.44305816065079 43.68991719434708, -79.4434214316857 43.69079231619353, -79.44374223983067 43.69158818248862, -79.44413396006193 43.69254440026361, -79.44422494263378 43.69280557261941, -79.44465398965998 43.69385649538781, -79.44464996637942 43.69391474105381, -79.44458364873395 43.69398171944012)",1.0,107
218,394.0,Lauder Avenue,St. Clair Avenue West,Millerson Avenue,4.0,0.0,0.0,2003,"LINESTRING (-79.43973521616833 43.67870717726681, -79.43975935293116 43.67886305878354, -79.43993902557249 43.679299986794966, -79.4405391765685 43.68078789096728, -79.44104330234633 43.68199401868021, -79.44149634797137 43.683067666048395)",0.8675073737319422,107
219,402.0,Northcliffe Boulevard,Rogers Road,Amherst Avenue,5.0,0.0,0.0,2004,"LINESTRING (-79.4439523186212 43.686049717243826, -79.44481798795414 43.68835658878966, -79.44537620994375 43.68966840866133, -79.44572983304093 43.690504179951446)",1.0,107
222,416.0,Westmount Avenue,Rogers Road,Gibson Avenue,4.0,0.0,0.0,2002,"LINESTRING (-79.4450111228176 43.68581461426569, -79.4458934359833 43.68812081276999, -79.44624685282024 43.68899771882532, -79.44680518374994 43.690280756545036, -79.44689297970311 43.69047817180131, -79.44691677089543 43.69052802558524, -79.4469389432278 43.69055789566607, -79.44698149897502 43.690589330178206)",1.0,107
223,417.0,Westmount Avenue,Cloverlawn Avenue,Rosecliffe Avenue,2.0,0.0,0.0,2003,"LINESTRING (-79.44326704950953 43.6815253915823, -79.44410848251823 43.68368743594413)",1.0,107
224,418.0,Westmount Avenue,Rosecliffe Avenue,Rogers Road,3.0,0.0,0.0,2003,"LINESTRING (-79.44410848251823 43.68368743594413, -79.4450111228176 43.68581461426569)",1.0,107
226,421.0,Winnett Avenue,Hursting Avenue,Normanna Road,2.0,0.0,0.0,2001,"LINESTRING (-79.43084006595782 43.68356409990137, -79.43153564424861 43.68532818678711)",1.0,107
255,556.0,Lanark Avenue,Glenholme Avenue,Oakwood Avenue,3.0,0.0,0.0,2003,"LINESTRING (-79.4424888087064 43.69662670838124, -79.44498035341496 43.69608672188852)",1.0,107
256,566.0,Atlas Avenue,Earlsdale Avenue,Vaughan Road,3.0,0.0,0.0,2003,"LINESTRING (-79.43319523107384 43.68685699318315, -79.4340072958242 43.68885739284599, -79.43408219411629 43.689041891722916, -79.43409949903112 43.68908451922307, -79.43419556395926 43.68927480931458)",1.0,107
