,_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,ACTIVATIONDATE,SIGNALSYSTEM,NON_SYSTEM,CONTROL_MODE,PEDWALKSPEED,APS_OPERATION,NUMBEROFAPPROACHES,OBJECTID,GEO_ID,NODE_ID,AUDIBLEPEDSIGNAL,TRANSIT_PREEMPT,FIRE_PREEMPT,RAIL_PREEMPT,MI_PRINX,BICYCLE_SIGNAL,UPS,LED_BLANKOUT_SIGN,LPI_NORTH_IMPLEMENTATION_DATE,LPI_SOUTH_IMPLEMENTATION_DATE,LPI_EAST_IMPLEMENTATION_DATE,LPI_WEST_IMPLEMENTATION_DATE,LPI_COMMENT,geometry,Neighbourhood
0,1,0002,JARVIS ST,,FRONT ST E,LOWER JARVIS ST,,,,TransSuite,,FT,1.0 m/s (FDW based on full crossing @1.2m/s),,4,1,11075761,13466793,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,,,,,,MULTIPOINT (-79.3714639959891 43.64944999708736),166
13,14,0015,CHURCH ST,,FRONT ST E,WELLINGTON ST E,,,,TransSuite,,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),,4,14,14254940,14254942,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,,,,,,MULTIPOINT (-79.37378599818705 43.64844200138915),166
27,28,0029,YONGE ST,,FRONT ST,,,,,TransSuite,,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),,3,28,1146204,13467239,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,,,,,,MULTIPOINT (-79.37697399692091 43.64688400103595),166
57,58,0059,BAY ST,,FRONT ST W,,,,,TransSuite,,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,58,10864309,13467389,1.0,0.0,0.0,0.0,58,0.0,0.0,0.0,,,,,,MULTIPOINT (-79.37913399618985 43.645986996674765),166
201,202,0203,LAKE SHORE BLVD E,,LOWER SHERBOURNE ST,,,,,SCOOT,,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),,4,202,1146086,13467301,0.0,0.0,0.0,0.0,202,0.0,1.0,0.0,,,,,,MULTIPOINT (-79.36609899714699 43.64636600240206),166
202,203,0204,HARBOUR ST,,YORK ST,,,,,TransSuite,,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,203,5866210,13468047,1.0,0.0,0.0,0.0,203,0.0,1.0,0.0,,,,,,MULTIPOINT (-79.38069099570485 43.64100399694014),166
203,204,0205,LAKE SHORE BLVD W,,YORK ST,,,WB LAKE SHORE BLVD,,TransSuite,,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,204,1146741,13467993,1.0,0.0,0.0,0.0,204,0.0,1.0,0.0,,,,,,MULTIPOINT (-79.38086799466899 43.64146000215072),166
207,208,0209,LAKE SHORE BLVD E,,PARLIAMENT ST,,,,,SCOOT,,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),,4,208,1145812,13467067,0.0,0.0,0.0,0.0,208,0.0,1.0,0.0,,,,,,MULTIPOINT (-79.36104300314311 43.64773799640004),166
208,209,0210,LAKE SHORE BLVD E,,LOWER JARVIS ST,,,,,SCOOT,,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),,4,209,1146303,13467437,0.0,0.0,0.0,0.0,209,0.0,1.0,0.0,,,,,,MULTIPOINT (-79.36985500053747 43.64563100390511),166
209,210,0211,YONGE ST,,LAKE SHORE BLVD W,,,W/B LAKE SHORE BLVD,,TransSuite,,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,210,1146446,13467631,1.0,0.0,0.0,0.0,210,0.0,1.0,0.0,1664-04-24T00:00:00,1664-04-24T00:00:00,,,LPI is on North and South crosswalks,MULTIPOINT (-79.37585600613173 43.64427700441451),166
210,211,0212,LAKE SHORE BLVD W,,BAY ST,,,BAY ST W/B,,TransSuite,,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,211,30136767,13467798,1.0,0.0,0.0,0.0,211,0.0,1.0,0.0,,,,,East & West: Crosswalk,MULTIPOINT (-79.37782300050453 43.64300599668166),166
211,212,0213,BAY ST,,HARBOUR ST,,,,,TransSuite,,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,212,7929250,13467909,1.0,0.0,0.0,0.0,212,0.0,0.0,0.0,,,,,LPI is on East and West Crosswalks.,MULTIPOINT (-79.37746100573307 43.64207799976432),166
242,243,0244,PARLIAMENT ST,,FRONT ST E,,,,,TransSuite,,FT,1.0 m/s (FDW based on full crossing @1.2m/s),,4,243,8354029,13466427,0.0,0.0,0.0,0.0,243,0.0,0.0,0.0,1637-07-30T00:00:00,1637-07-30T00:00:00,1637-07-30T00:00:00,1637-07-30T00:00:00,,MULTIPOINT (-79.36273999654263 43.6515680014606),166
251,252,0253,SHERBOURNE ST,,FRONT ST E,,,,,TransSuite,,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,252,8351480,13466633,1.0,1.0,1.0,0.0,252,0.0,0.0,0.0,,,,,,MULTIPOINT (-79.36789199918884 43.650394002271334),166
813,814,0816,EASTERN AVE,,CHERRY ST,SUMACH ST,,,,TransSuite,,FT,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,814,3969874,13466055,1.0,1.0,0.0,0.0,814,0.0,0.0,0.0,,,,,,MULTIPOINT (-79.35853300007898 43.65390599768001),166
817,818,0820,LAKE SHORE BLVD E,,CHERRY ST,,,SOUTH INTERSECTION,,SCOOT,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),,3,818,9212691,13466977,0.0,0.0,0.0,0.0,818,0.0,0.0,0.0,,,,,,MULTIPOINT (-79.35479899879628 43.64819099775167),166
818,819,0821,QUEENS QUAY E,,LOWER JARVIS ST,,,,,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),,3,819,30137691,13467665,0.0,0.0,0.0,0.0,819,0.0,0.0,0.0,,,,,,MULTIPOINT (-79.36900000109345 43.64393800398268),166
